# session menu (Workflow A output template; SPA.xlsx-compatible layout)
# 以下 `# key: value` 行はメタ情報として tsv_to_excel_custom.py が B1〜F2 に書き込む。
# Title: <わかりやすい 1 行タイトル (Step 16.5 で必ず生成)>
# Subtitle: <練習環境 + 大会逆算 + 参加者 の 1 行要約>
# Team: <TEAM_NAME>
# Date: <YYYY-MM-DD (Dow) HH:MM - HH:MM>
# Equipment: fins, paddles
# Facility: 東京アクアティクスセンター (メイン プール 1 レーン, LCM 50m)
# Theme: Threshold day (Phase B / EN3 主体 / Method: Threshold)
Category	Times	Distance	Set	Cycle	Description	WithGears	Subtotal	Elapsed	ClockTime
W-up	1	500	1	-	200 swim + 100 kick + 100 pull + 100 choice / Easy build, posture check	board, pull_buoy	500	0:08:00	19:08
Drill	6	50	1	1'10"	Fr / Scull #1 + High elbow catch focus	-	300	0:07:00	19:15
Kick	6	50	1	1'15"	Choice / Desc 1-3, 4-6, stable body line	fins, board	300	0:07:30	19:22
Main	2	1000	1	200 on 3'00" / 50 on 1'20"	4x200 Threshold + 50 easy recovery, hold EN3 pace	paddles optional	2000	0:30:00	19:52
C-down	1	300	1	-	100 back + 100 easy free + 100 choice / Relaxed breathing	-	300	0:08:00	20:00
TOTAL		3400					3400		
# _pace_table
alice	freestyle_100m	1:04	Threshold
bob	freestyle_100m	1:12	Threshold
# _notes
Coach note	Check shoulder status before paddles.
Coach note	Adjust cycle +10s if RPE exceeds 8 by Main set 1.
